New constituency name,Total population,Number of households,,Aged 15 years and under,Aged 16 to 24 years,Aged 25 to 34 years,Aged 35 to 49 years,Aged 50 to 64 years,Aged 65 years and over,,United Kingdom,Ireland,Other Europe,Africa,Middle East and Asia,Americas and the Caribbean,Australasia and others,,White British,Other White,Asian / Asian British,Black / Black British,Mixed / Multiple ethnic groups,Other ethnic groups,,No religion,Christian,Buddhist,Hindu,Jewish,Muslim,Sikh,Other religion,Not answered,,Owned outright,Owned with a mortgage or loan,Private rented,Social rented,Other tenure
Dartford,"109,000","42,500",,22.6%,8.9%,15.6%,22.7%,17.1%,13.2%,,79.4%,0.5%,6.7%,5.9%,6.2%,1.0%,0.1%,,65.9%,7.5%,10.3%,11.0%,3.2%,2.1%,,36.3%,47.9%,0.6%,4.0%,0.1%,3.7%,1.8%,0.4%,5.4%,,26.0%,38.7%,18.8%,14.0%,2.6%
Daventry,"105,000","43,700",,17.7%,8.5%,12.0%,18.8%,22.1%,20.8%,,90.8%,0.5%,5.2%,1.3%,1.4%,0.6%,0.2%,,88.3%,5.9%,2.1%,1.3%,1.9%,0.5%,,41.0%,50.7%,0.4%,0.5%,0.1%,0.8%,0.3%,0.5%,5.7%,,37.3%,34.8%,13.8%,12.8%,1.5%
Derby North,"103,000","43,300",,18.2%,13.5%,14.3%,19.2%,18.0%,16.9%,,84.4%,0.5%,6.2%,2.2%,5.8%,0.8%,0.1%,,73.4%,6.8%,11.0%,3.4%,3.4%,2.1%,,41.6%,40.7%,0.4%,1.4%,0.1%,6.0%,3.0%,0.6%,6.4%,,31.0%,27.3%,21.8%,19.0%,1.0%
Derby South,"119,000","45,100",,22.5%,12.1%,14.8%,20.4%,16.7%,13.5%,,72.4%,0.5%,10.5%,2.8%,12.7%,1.1%,0.1%,,51.8%,9.7%,24.1%,5.5%,4.5%,4.4%,,30.5%,36.6%,0.3%,1.3%,0.1%,19.1%,5.4%,0.5%,6.4%,,26.8%,25.4%,24.1%,22.9%,0.9%
Derbyshire Dales,"89,300","39,800",,15.4%,7.9%,9.1%,16.9%,24.5%,26.2%,,96.1%,0.3%,1.6%,0.5%,0.8%,0.5%,0.2%,,94.9%,2.4%,1.0%,0.3%,1.2%,0.3%,,38.4%,54.3%,0.3%,0.1%,0.1%,0.4%,0.3%,0.5%,5.8%,,46.2%,26.7%,14.6%,11.6%,1.0%
Dewsbury and Batley,"104,000","37,700",,23.2%,12.5%,14.0%,20.3%,16.7%,13.3%,,80.9%,0.1%,3.4%,1.2%,14.1%,0.3%,0.1%,,48.4%,2.8%,44.2%,0.8%,2.3%,1.5%,,22.1%,28.1%,0.2%,0.3%,0.0%,43.7%,0.2%,0.2%,5.2%,,32.5%,27.6%,19.4%,19.7%,0.8%
Didcot and Wantage,"106,000","44,100",,19.8%,8.2%,14.3%,20.8%,19.4%,17.6%,,87.3%,0.5%,6.0%,1.9%,2.8%,1.2%,0.4%,,85.2%,7.3%,3.3%,1.4%,2.1%,0.8%,,44.1%,46.7%,0.4%,1.0%,0.2%,1.0%,0.2%,0.4%,6.0%,,33.0%,35.0%,14.7%,14.4%,2.9%
Doncaster Central,"112,000","49,000",,18.5%,9.4%,14.5%,19.7%,19.6%,18.3%,,81.7%,0.3%,11.9%,1.7%,3.9%,0.4%,0.1%,,76.6%,10.9%,5.7%,2.1%,2.1%,2.5%,,36.2%,50.7%,0.4%,0.7%,0.0%,4.8%,0.9%,0.8%,5.5%,,31.3%,27.5%,24.0%,16.6%,0.6%
Doncaster East and the Isle of Axholme,"93,700","39,300",,17.4%,8.8%,12.2%,17.8%,22.0%,21.7%,,94.5%,0.2%,3.4%,0.5%,1.1%,0.2%,0.1%,,92.7%,3.4%,1.7%,0.6%,1.1%,0.5%,,38.0%,54.3%,0.2%,0.3%,0.0%,1.1%,0.3%,0.4%,5.3%,,39.7%,32.5%,14.6%,12.6%,0.6%
Doncaster North,"96,700","42,500",,18.9%,9.6%,13.1%,17.4%,21.2%,19.8%,,94.4%,0.2%,3.9%,0.5%,0.7%,0.2%,0.1%,,92.8%,4.0%,1.1%,0.7%,1.2%,0.4%,,43.7%,49.5%,0.2%,0.3%,0.0%,0.5%,0.2%,0.4%,5.2%,,34.0%,29.0%,17.8%,18.4%,0.8%
Dorking and Horley,"93,800","39,100",,17.8%,8.2%,10.4%,19.5%,21.8%,22.3%,,87.5%,0.6%,4.8%,2.7%,2.8%,1.1%,0.5%,,84.7%,7.0%,3.6%,1.3%,2.5%,0.9%,,39.6%,50.7%,0.4%,1.0%,0.2%,1.5%,0.1%,0.4%,6.0%,,39.5%,33.9%,14.2%,10.9%,1.5%
Dover and Deal,"103,000","44,700",,17.8%,8.7%,11.9%,17.1%,21.2%,23.4%,,91.3%,0.4%,4.4%,0.9%,2.0%,0.7%,0.3%,,90.0%,4.7%,2.2%,0.8%,1.5%,0.9%,,42.8%,49.1%,0.5%,0.6%,0.1%,0.6%,0.1%,0.6%,5.5%,,38.2%,27.2%,19.5%,14.2%,0.8%
Droitwich and Evesham,"102,000","43,900",,16.8%,8.3%,11.6%,18.0%,21.7%,23.6%,,90.8%,0.3%,6.5%,0.8%,1.0%,0.4%,0.2%,,89.4%,7.3%,1.2%,0.4%,1.2%,0.5%,,35.2%,57.4%,0.3%,0.2%,0.1%,0.7%,0.3%,0.4%,5.5%,,38.9%,30.1%,13.5%,16.2%,1.3%
Dudley,"101,000","41,600",,20.6%,9.9%,14.0%,18.5%,19.1%,17.9%,,89.4%,0.2%,3.1%,1.6%,4.8%,0.8%,0.0%,,77.0%,3.2%,10.9%,4.3%,3.3%,1.2%,,34.8%,48.4%,0.3%,1.1%,0.0%,7.6%,2.1%,0.4%,5.3%,,32.8%,26.7%,14.2%,25.3%,1.0%
Dulwich and West Norwood,"107,000","44,000",,18.9%,10.4%,19.9%,22.9%,18.1%,9.7%,,66.8%,1.2%,9.8%,8.3%,4.7%,8.2%,1.1%,,40.9%,14.0%,6.4%,25.3%,8.5%,4.8%,,38.7%,42.8%,0.8%,1.1%,0.4%,7.6%,0.2%,0.8%,7.7%,,15.3%,24.4%,24.6%,33.9%,1.7%
Dunstable and Leighton Buzzard,"108,000","44,200",,20.3%,8.5%,14.6%,20.9%,19.0%,16.7%,,84.5%,0.8%,8.3%,2.4%,2.8%,1.0%,0.2%,,77.4%,9.9%,4.4%,3.8%,3.5%,1.1%,,41.2%,48.5%,0.4%,1.4%,0.2%,2.1%,0.3%,0.5%,5.5%,,30.9%,37.5%,15.3%,14.6%,1.7%
Dwyfor Meirionnydd,"94,500","42,500",,16.8%,8.4%,10.7%,16.1%,22.4%,25.7%,,96.6%,0.3%,1.7%,0.3%,0.6%,0.3%,0.2%,,95.9%,2.3%,0.6%,0.2%,0.9%,0.2%,,43.2%,48.3%,0.3%,0.1%,0.1%,0.3%,0.0%,0.5%,7.1%,,46.5%,21.7%,15.8%,15.4%,0.5%
Ealing Central and Acton,"132,000","54,000",,17.1%,11.8%,19.7%,23.7%,16.2%,11.4%,,50.6%,1.6%,19.3%,6.7%,16.0%,4.6%,1.1%,,31.6%,24.1%,16.0%,10.7%,6.5%,11.1%,,28.2%,40.8%,1.3%,2.4%,0.5%,16.6%,1.1%,0.8%,8.2%,,18.9%,20.0%,38.6%,19.9%,2.5%
Ealing North,"128,000","45,200",,20.8%,10.9%,14.6%,23.0%,18.3%,12.4%,,50.6%,1.5%,17.4%,7.2%,19.9%,3.0%,0.2%,,23.1%,20.2%,26.8%,13.3%,5.5%,11.2%,,15.2%,42.9%,1.3%,9.8%,0.2%,20.3%,3.0%,0.8%,6.6%,,23.6%,26.3%,28.3%,19.8%,2.0%
Ealing Southall,"125,000","41,300",,20.3%,10.7%,15.0%,23.9%,18.0%,12.2%,,47.0%,1.2%,10.0%,6.5%,32.6%,2.2%,0.5%,,18.7%,12.0%,46.9%,9.3%,4.0%,9.2%,,14.7%,30.2%,0.6%,10.2%,0.2%,19.3%,18.7%,0.7%,5.3%,,24.8%,23.6%,33.0%,16.5%,2.2%
Earley and Woodley,"106,000","38,900",,20.5%,12.3%,13.1%,22.0%,17.7%,14.3%,,75.1%,0.5%,6.8%,3.7%,12.3%,1.4%,0.2%,,61.6%,7.9%,19.6%,4.5%,4.0%,2.4%,,35.3%,39.8%,0.9%,6.4%,0.2%,8.5%,2.0%,0.5%,6.3%,,31.3%,38.2%,16.0%,12.4%,2.1%
Easington,"93,200","42,400",,18.0%,9.6%,12.1%,18.0%,22.0%,20.3%,,97.3%,0.1%,1.3%,0.3%,0.7%,0.2%,0.1%,,96.8%,1.3%,0.9%,0.2%,0.6%,0.2%,,38.6%,55.6%,0.2%,0.1%,0.0%,0.3%,0.2%,0.4%,4.6%,,32.7%,26.9%,17.1%,23.0%,0.4%
East Grinstead and Uckfield,"95,600","39,700",,18.1%,8.3%,10.1%,18.8%,22.3%,22.5%,,89.7%,0.5%,4.4%,1.7%,2.1%,1.1%,0.5%,,88.2%,5.9%,2.3%,0.7%,2.3%,0.6%,,41.5%,48.7%,0.3%,0.5%,0.2%,0.9%,0.1%,1.0%,6.6%,,39.7%,34.8%,14.5%,9.7%,1.2%
East Ham,"131,000","37,200",,24.4%,13.1%,16.4%,23.7%,14.6%,7.8%,,44.4%,0.3%,14.7%,6.4%,31.7%,2.3%,0.1%,,8.9%,11.3%,58.9%,12.8%,3.2%,4.8%,,7.1%,26.9%,0.3%,9.8%,0.1%,47.1%,2.6%,0.4%,5.7%,,17.7%,20.5%,38.9%,21.6%,1.3%
East Hampshire,"90,800","38,300",,17.0%,8.4%,9.6%,17.8%,22.9%,24.3%,,91.3%,0.4%,3.6%,1.5%,1.8%,0.9%,0.5%,,91.7%,4.4%,1.6%,0.4%,1.5%,0.4%,,40.6%,51.6%,0.3%,0.3%,0.2%,0.5%,0.1%,0.5%,6.1%,,41.4%,31.4%,13.7%,12.1%,1.4%
East Surrey,"99,200","40,000",,19.8%,8.7%,10.7%,19.9%,20.9%,20.0%,,88.6%,0.7%,3.8%,2.6%,2.7%,1.2%,0.5%,,82.6%,6.0%,4.0%,2.5%,3.9%,0.9%,,39.0%,50.8%,0.4%,1.2%,0.2%,1.6%,0.1%,0.4%,6.4%,,36.1%,37.4%,13.2%,12.0%,1.3%
East Thanet,"105,000","46,200",,18.7%,9.1%,12.0%,18.1%,20.1%,22.0%,,89.2%,0.6%,5.8%,1.3%,2.2%,0.7%,0.3%,,85.9%,6.3%,2.6%,1.2%,2.6%,1.4%,,45.4%,45.1%,0.4%,0.6%,0.2%,1.7%,0.1%,0.7%,5.9%,,34.0%,24.0%,28.3%,13.2%,0.5%
East Wiltshire,"101,000","39,800",,19.8%,9.9%,13.1%,18.6%,19.7%,19.0%,,88.1%,0.4%,4.5%,2.0%,2.8%,1.2%,1.0%,,88.3%,3.5%,2.8%,2.2%,1.9%,1.1%,,39.0%,51.8%,0.7%,1.0%,0.1%,0.6%,0.1%,0.7%,5.8%,,33.3%,26.8%,22.7%,15.9%,1.3%
East Worthing and Shoreham,"99,600","42,600",,17.9%,8.5%,10.7%,19.9%,20.7%,22.2%,,90.6%,0.5%,4.0%,1.5%,2.5%,0.8%,0.3%,,87.6%,5.0%,2.9%,0.9%,2.5%,1.0%,,47.4%,43.1%,0.5%,0.5%,0.3%,1.4%,0.1%,0.7%,6.1%,,38.9%,33.3%,16.7%,10.5%,0.7%
Eastbourne,"102,000","45,600",,16.8%,9.3%,11.5%,17.7%,20.0%,24.5%,,84.8%,0.7%,7.9%,1.9%,3.4%,1.1%,0.3%,,82.1%,8.8%,3.5%,1.3%,2.8%,1.7%,,43.2%,45.9%,0.6%,0.5%,0.2%,2.2%,0.0%,0.7%,6.6%,,35.8%,23.9%,26.6%,13.0%,0.7%
Eastleigh,"93,500","38,800",,19.0%,8.6%,12.6%,20.0%,19.9%,19.8%,,89.4%,0.3%,3.9%,1.8%,3.5%,0.7%,0.3%,,86.4%,4.4%,5.0%,1.0%,2.2%,1.0%,,44.0%,45.7%,0.4%,1.4%,0.1%,1.4%,1.0%,0.5%,5.6%,,36.2%,35.5%,13.8%,12.6%,1.9%
Edmonton and Winchmore Hill,"127,000","45,300",,22.2%,11.5%,13.2%,20.7%,18.7%,13.6%,,55.8%,0.9%,23.1%,10.1%,5.9%,4.1%,0.2%,,25.3%,20.7%,12.0%,22.9%,5.4%,13.8%,,15.9%,46.4%,0.5%,3.4%,0.6%,22.8%,0.4%,3.2%,6.9%,,25.8%,24.1%,29.8%,19.2%,1.1%
Ellesmere Port and Bromborough,"95,100","41,700",,18.7%,9.2%,13.9%,18.6%,20.7%,18.9%,,93.9%,0.5%,3.1%,0.5%,1.4%,0.4%,0.1%,,92.5%,3.5%,1.8%,0.4%,1.3%,0.5%,,38.7%,54.0%,0.3%,0.3%,0.1%,0.9%,0.1%,0.4%,5.2%,,33.2%,33.1%,14.9%,17.8%,1.0%
Eltham and Chislehurst,"110,000","43,400",,20.6%,9.8%,13.4%,22.4%,18.4%,15.4%,,74.3%,0.9%,10.2%,5.3%,6.3%,2.6%,0.4%,,59.0%,12.3%,9.4%,10.8%,5.0%,3.4%,,35.6%,47.9%,0.9%,2.6%,0.2%,5.5%,0.6%,0.5%,6.3%,,26.2%,31.6%,16.4%,24.3%,1.5%
Ely and East Cambridgeshire,"105,000","44,800",,18.5%,8.0%,12.0%,20.7%,20.3%,20.5%,,87.2%,0.5%,6.4%,1.5%,2.2%,1.8%,0.3%,,85.1%,8.6%,2.5%,0.9%,2.3%,0.8%,,43.1%,47.9%,0.4%,0.6%,0.2%,0.7%,0.1%,0.5%,6.4%,,36.4%,31.8%,16.6%,13.6%,1.6%
Enfield North,"127,000","47,000",,23.7%,11.3%,13.2%,21.5%,18.0%,12.3%,,64.9%,0.9%,18.0%,8.1%,5.1%,2.8%,0.2%,,35.9%,16.6%,9.5%,20.3%,6.4%,11.4%,,22.0%,46.7%,0.5%,2.1%,0.6%,17.7%,0.2%,3.4%,6.8%,,23.9%,27.1%,27.7%,19.8%,1.6%
Epping Forest,"103,000","41,300",,19.0%,9.2%,12.6%,20.8%,20.0%,18.4%,,84.0%,0.7%,7.5%,2.3%,3.9%,1.1%,0.3%,,71.5%,9.7%,8.7%,3.5%,4.0%,2.6%,,32.3%,48.3%,0.4%,2.6%,3.7%,4.2%,1.6%,0.7%,6.1%,,33.4%,34.8%,15.5%,15.5%,0.8%
Epsom and Ewell,"108,000","42,600",,19.8%,9.2%,10.9%,21.6%,19.6%,18.9%,,80.0%,0.9%,6.5%,3.8%,6.5%,1.7%,0.5%,,72.2%,9.7%,9.8%,1.8%,4.1%,2.4%,,36.2%,49.0%,0.6%,3.0%,0.2%,4.1%,0.3%,0.4%,6.2%,,36.5%,36.5%,16.2%,9.7%,1.2%
Erewash,"95,200","42,600",,17.5%,9.3%,13.6%,18.7%,21.2%,19.7%,,94.4%,0.3%,2.9%,0.7%,1.1%,0.4%,0.1%,,92.0%,3.2%,1.7%,0.8%,1.9%,0.4%,,51.7%,40.8%,0.2%,0.5%,0.0%,0.5%,0.3%,0.5%,5.4%,,35.6%,32.3%,18.0%,13.5%,0.6%
Erith and Thamesmead,"135,000","49,600",,23.3%,10.8%,15.2%,22.6%,18.0%,10.1%,,60.5%,0.7%,11.0%,15.3%,9.7%,2.6%,0.2%,,35.1%,11.0%,13.6%,30.6%,5.5%,4.2%,,25.8%,50.2%,1.9%,4.4%,0.1%,8.8%,2.3%,0.5%,5.9%,,16.8%,24.5%,25.4%,31.4%,2.0%
Esher and Walton,"103,000","41,100",,21.9%,7.7%,10.0%,23.2%,19.9%,17.3%,,80.2%,1.0%,7.2%,3.7%,4.8%,2.1%,1.0%,,75.1%,11.1%,6.6%,1.2%,4.1%,1.9%,,36.7%,50.6%,0.6%,1.7%,0.5%,2.6%,0.5%,0.4%,6.4%,,33.7%,38.7%,16.1%,10.2%,1.2%
Exeter,"102,000","40,300",,13.6%,24.0%,13.8%,17.0%,15.9%,15.8%,,83.6%,0.4%,7.4%,1.5%,5.4%,1.3%,0.3%,,81.2%,8.2%,5.3%,1.0%,2.7%,1.6%,,49.3%,38.5%,0.6%,0.6%,0.2%,2.3%,0.1%,0.7%,7.7%,,29.5%,24.3%,28.0%,17.3%,0.9%
Exmouth and Exeter East,"99,900","42,800",,17.6%,8.6%,12.0%,18.2%,19.6%,24.1%,,92.6%,0.3%,3.5%,1.0%,1.7%,0.5%,0.3%,,92.1%,4.1%,1.6%,0.3%,1.4%,0.5%,,44.5%,47.3%,0.3%,0.2%,0.1%,0.7%,0.1%,0.5%,6.3%,,40.2%,29.7%,16.2%,11.9%,2.0%
Fareham and Waterlooville,"98,800","42,800",,16.3%,8.4%,11.7%,17.4%,21.5%,24.8%,,93.5%,0.3%,2.8%,1.0%,1.7%,0.5%,0.2%,,92.9%,2.8%,1.9%,0.6%,1.4%,0.4%,,45.8%,46.9%,0.3%,0.3%,0.1%,0.6%,0.1%,0.5%,5.4%,,41.6%,32.8%,13.1%,11.4%,1.1%
Farnham and Bordon,"100,000","41,000",,18.9%,9.3%,10.1%,19.6%,21.1%,21.0%,,87.3%,0.6%,5.1%,2.1%,2.9%,1.3%,0.6%,,86.9%,6.5%,3.2%,0.7%,2.1%,0.6%,,40.3%,50.4%,0.4%,0.3%,0.2%,1.4%,0.1%,0.5%,6.3%,,37.3%,35.2%,13.9%,12.4%,1.3%
Faversham and Mid Kent,"99,100","40,200",,19.4%,8.6%,11.8%,18.8%,20.8%,20.7%,,91.4%,0.4%,4.2%,1.5%,1.8%,0.6%,0.3%,,88.4%,5.3%,2.2%,1.5%,1.9%,0.7%,,42.7%,48.9%,0.4%,0.6%,0.1%,1.1%,0.1%,0.5%,5.5%,,36.5%,33.3%,12.8%,15.7%,1.7%
Feltham and Heston,"133,000","43,700",,21.6%,10.8%,15.4%,23.9%,16.9%,11.3%,,49.6%,0.4%,12.0%,6.7%,29.9%,1.2%,0.2%,,25.4%,12.0%,43.6%,7.6%,3.8%,7.5%,,14.9%,37.1%,1.6%,10.4%,0.1%,17.8%,11.8%,0.8%,5.4%,,20.3%,25.0%,27.4%,24.5%,2.7%
Filton and Bradley Stoke,"107,000","42,300",,19.1%,13.7%,15.3%,20.6%,17.1%,14.3%,,83.1%,0.3%,7.0%,2.4%,5.5%,1.4%,0.2%,,77.3%,7.9%,7.3%,2.6%,3.3%,1.5%,,45.8%,41.4%,0.5%,2.3%,0.1%,2.8%,0.5%,0.5%,6.2%,,30.6%,36.9%,20.3%,10.7%,1.4%
Finchley and Golders Green,"126,000","49,600",,20.6%,9.3%,15.1%,22.8%,17.0%,15.2%,,55.0%,1.2%,17.1%,6.4%,16.4%,3.2%,0.7%,,36.7%,23.8%,17.2%,5.9%,5.3%,11.2%,,21.2%,30.8%,1.0%,4.8%,20.8%,10.9%,0.4%,1.2%,8.8%,,26.9%,23.3%,38.3%,10.8%,0.8%
Folkestone and Hythe,"91,800","41,000",,16.5%,8.6%,11.2%,17.0%,21.7%,25.1%,,88.9%,0.5%,4.3%,1.2%,4.3%,0.6%,0.3%,,87.1%,4.9%,4.3%,0.7%,2.0%,1.1%,,42.1%,47.2%,1.1%,1.7%,0.1%,1.1%,0.0%,0.9%,5.7%,,38.3%,25.1%,24.2%,11.5%,0.8%
Forest of Dean,"91,600","39,100",,16.1%,9.4%,10.4%,16.2%,22.7%,25.2%,,94.9%,0.3%,2.6%,0.7%,0.9%,0.4%,0.3%,,94.6%,2.9%,0.7%,0.3%,1.1%,0.4%,,41.3%,50.9%,0.3%,0.1%,0.1%,0.3%,0.1%,0.6%,6.4%,,44.5%,28.5%,13.4%,12.7%,0.9%
Frome and East Somerset,"92,200","38,600",,18.5%,8.9%,11.0%,18.0%,21.8%,21.7%,,93.4%,0.3%,3.2%,0.9%,1.2%,0.7%,0.3%,,92.7%,4.1%,1.0%,0.4%,1.5%,0.3%,,46.7%,45.1%,0.4%,0.1%,0.1%,0.3%,0.0%,0.7%,6.6%,,39.9%,31.2%,15.8%,12.1%,1.0%
Fylde,"96,300","44,600",,14.9%,7.5%,10.0%,16.4%,23.3%,27.9%,,94.3%,0.5%,2.8%,0.6%,1.3%,0.4%,0.2%,,93.4%,2.9%,1.5%,0.4%,1.4%,0.4%,,31.3%,61.5%,0.3%,0.3%,0.3%,0.7%,0.1%,0.4%,5.1%,,44.0%,28.7%,18.8%,7.8%,0.8%
Gainsborough,"95,100","42,300",,16.9%,8.1%,10.4%,16.7%,22.8%,25.2%,,95.1%,0.3%,2.4%,0.6%,1.1%,0.4%,0.1%,,94.6%,2.4%,1.2%,0.3%,1.1%,0.4%,,37.9%,54.7%,0.2%,0.3%,0.0%,0.4%,0.1%,0.5%,5.7%,,41.5%,28.8%,17.8%,10.9%,1.0%
Gateshead Central and Whickham,"98,000","44,300",,17.7%,10.2%,14.4%,19.1%,19.9%,18.7%,,89.8%,0.2%,4.1%,1.5%,3.7%,0.5%,0.1%,,86.7%,4.4%,3.5%,1.6%,1.5%,2.3%,,39.5%,48.6%,0.3%,0.4%,2.9%,2.9%,0.2%,0.4%,4.9%,,29.1%,26.4%,19.7%,24.2%,0.6%
Gedling,"101,000","44,500",,17.9%,8.5%,12.7%,19.2%,20.9%,20.9%,,91.9%,0.4%,3.3%,1.2%,2.3%,0.8%,0.1%,,84.4%,4.2%,4.2%,2.5%,3.8%,0.9%,,48.4%,41.4%,0.3%,0.6%,0.1%,2.3%,0.9%,0.5%,5.5%,,39.0%,33.9%,16.5%,10.1%,0.6%
Gillingham and Rainham,"102,000","40,800",,19.8%,10.7%,13.2%,19.2%,19.2%,17.8%,,86.3%,0.5%,5.1%,2.9%,4.1%,0.9%,0.2%,,79.0%,5.2%,6.3%,5.3%,2.8%,1.3%,,42.4%,45.6%,0.3%,1.3%,0.1%,3.0%,1.2%,0.6%,5.7%,,33.7%,32.6%,21.8%,10.7%,1.1%
Glastonbury and Somerton,"92,000","40,000",,16.3%,9.0%,10.1%,15.8%,22.5%,26.4%,,93.0%,0.3%,3.3%,1.0%,1.3%,0.7%,0.4%,,93.5%,3.7%,0.9%,0.4%,1.2%,0.3%,,39.7%,51.4%,0.4%,0.2%,0.1%,0.3%,0.0%,1.1%,6.7%,,43.4%,25.9%,16.7%,12.7%,1.3%
Gloucester,"116,000","48,700",,19.5%,11.2%,14.5%,19.6%,19.1%,16.0%,,84.8%,0.4%,7.2%,2.2%,4.0%,1.2%,0.2%,,76.7%,7.5%,6.6%,4.0%,4.0%,1.3%,,40.0%,46.9%,0.3%,0.9%,0.1%,5.1%,0.2%,0.5%,6.0%,,29.8%,31.5%,22.4%,15.0%,1.3%
Godalming and Ash,"96,500","40,000",,18.8%,8.4%,10.1%,20.0%,21.0%,21.8%,,87.8%,0.6%,4.7%,2.4%,2.6%,1.3%,0.7%,,86.9%,6.9%,2.6%,0.7%,2.2%,0.7%,,38.7%,52.7%,0.5%,0.5%,0.2%,0.9%,0.1%,0.4%,6.0%,,38.1%,34.0%,14.1%,12.4%,1.4%
Goole and Pocklington,"103,000","44,400",,16.9%,8.3%,11.1%,18.4%,22.3%,23.0%,,93.0%,0.2%,4.6%,0.5%,1.1%,0.5%,0.2%,,92.3%,4.7%,1.2%,0.3%,1.0%,0.4%,,37.3%,55.1%,0.2%,0.3%,0.1%,0.6%,0.1%,0.3%,5.9%,,41.1%,33.3%,16.1%,8.9%,0.6%
Gorton and Denton,"114,000","43,800",,23.8%,11.2%,14.3%,21.0%,17.1%,12.6%,,71.1%,1.2%,6.1%,5.0%,15.5%,1.0%,0.1%,,51.1%,5.4%,26.6%,9.1%,4.2%,3.5%,,26.3%,39.0%,0.3%,0.5%,0.1%,28.4%,0.3%,0.4%,4.7%,,23.9%,25.4%,24.5%,25.1%,1.0%
Gosport,"96,300","42,000",,17.3%,9.3%,11.7%,17.5%,21.2%,23.0%,,92.9%,0.3%,3.2%,1.0%,1.5%,0.9%,0.3%,,92.7%,2.8%,1.4%,1.1%,1.5%,0.5%,,47.0%,45.9%,0.3%,0.3%,0.0%,0.5%,0.0%,0.6%,5.2%,,37.2%,29.2%,17.5%,14.8%,1.3%
Gower,"96,300","42,300",,16.8%,9.3%,10.3%,17.7%,21.3%,24.6%,,94.8%,0.3%,1.8%,0.7%,1.8%,0.4%,0.2%,,93.4%,2.3%,2.1%,0.4%,1.2%,0.6%,,45.1%,46.5%,0.3%,0.3%,0.0%,1.2%,0.1%,0.4%,6.0%,,44.1%,31.7%,12.4%,11.3%,0.5%
Grantham and Bourne,"98,800","43,100",,17.8%,8.4%,11.1%,17.9%,21.8%,23.1%,,90.3%,0.3%,6.1%,0.9%,1.8%,0.5%,0.2%,,89.6%,6.0%,2.0%,0.7%,1.3%,0.5%,,36.9%,55.1%,0.3%,0.7%,0.1%,0.6%,0.1%,0.4%,5.8%,,37.3%,30.4%,18.5%,12.7%,1.0%
Gravesham,"107,000","41,700",,20.9%,9.7%,13.2%,19.9%,19.0%,17.2%,,80.7%,0.5%,7.9%,3.6%,6.2%,0.8%,0.2%,,68.3%,8.3%,11.2%,6.5%,2.7%,3.0%,,32.1%,49.2%,0.3%,1.4%,0.1%,3.1%,8.0%,0.6%,5.2%,,31.2%,31.0%,19.1%,17.4%,1.3%
Great Grimsby and Cleethorpes,"107,000","48,200",,19.8%,9.7%,13.6%,17.6%,20.5%,18.8%,,92.6%,0.2%,4.8%,0.7%,1.4%,0.2%,0.1%,,91.8%,4.3%,1.5%,0.6%,1.1%,0.7%,,49.5%,42.1%,0.3%,0.2%,0.0%,1.3%,0.1%,0.5%,6.0%,,30.9%,26.0%,27.2%,15.4%,0.6%
Great Yarmouth,"99,800","44,500",,17.1%,9.1%,11.7%,16.9%,21.2%,24.0%,,90.2%,0.3%,6.1%,1.1%,1.8%,0.4%,0.1%,,88.9%,5.7%,1.9%,1.1%,1.6%,0.8%,,45.2%,46.7%,0.3%,0.4%,0.1%,0.7%,0.0%,0.5%,6.1%,,38.1%,23.7%,21.5%,16.2%,0.5%
Greenwich and Woolwich,"117,000","49,600",,18.8%,10.9%,23.2%,24.8%,14.2%,8.1%,,58.8%,1.1%,14.8%,10.2%,10.3%,4.0%,0.9%,,38.1%,17.3%,13.8%,20.0%,6.8%,4.1%,,36.3%,40.2%,1.8%,3.9%,0.3%,9.1%,1.0%,0.8%,6.7%,,11.3%,22.7%,30.6%,32.2%,3.3%
Guildford,"102,000","39,000",,16.7%,17.7%,12.1%,19.1%,18.1%,16.4%,,77.9%,0.6%,8.4%,3.2%,7.1%,2.1%,0.6%,,73.7%,10.8%,8.1%,1.6%,3.4%,2.3%,,39.7%,46.9%,0.8%,1.6%,0.3%,2.5%,0.2%,0.5%,7.5%,,33.0%,30.3%,21.9%,13.2%,1.5%
Hackney North and Stoke Newington,"116,000","44,100",,22.5%,11.5%,20.9%,21.9%,14.9%,8.4%,,64.0%,1.1%,14.0%,6.6%,6.4%,6.5%,1.3%,,37.2%,17.9%,10.3%,19.3%,6.2%,9.0%,,32.9%,26.8%,0.7%,0.7%,12.6%,13.5%,0.8%,1.8%,10.1%,,12.0%,16.9%,32.2%,37.1%,1.8%
Hackney South and Shoreditch,"113,000","48,900",,16.0%,11.8%,27.4%,22.4%,14.9%,7.5%,,57.3%,1.4%,17.0%,8.8%,6.5%,7.0%,2.0%,,30.7%,19.7%,10.7%,23.7%,7.2%,8.0%,,39.4%,34.4%,1.1%,0.8%,1.2%,13.3%,0.6%,1.9%,7.2%,,7.7%,13.2%,31.2%,44.6%,3.3%
